instance,outcome,possessing team
10,failed,
11,failed,
12,failed,
13,failed,
14,failed,
15,failed,
16,failed,
17,failed,
18,failed,
19,failed,
20,failed,
21,failed,
22,failed,
23,failed,
24,failed,
25,failed,
26,failed,
27,failed,
28,failed,
29,failed,
30,failed,
31,failed,
32,failed,
33,failed,
38,success,home team
39,success,home team
40,success,home team
41,success,home team
42,success,home team
43,success,home team
44,success,home team
45,success,home team
46,success,home team
47,success,home team
48,success,home team
49,success,home team
50,success,home team
51,success,home team
52,success,home team
53,success,home team
54,success,home team
55,success,home team
56,success,home team
57,success,home team
58,success,home team
59,success,home team
60,success,home team
61,success,home team
62,success,home team
63,success,home team
64,success,home team
65,success,home team
66,success,home team
67,success,home team
68,success,home team
69,success,home team
70,success,home team
71,success,home team
72,success,home team
73,success,home team
74,success,home team
75,success,home team
76,success,home team
77,success,home team
78,success,home team
79,success,home team
80,success,home team
81,success,home team
82,success,home team
83,success,home team
84,success,home team
85,success,home team
86,success,home team
87,success,home team
88,success,home team
89,success,home team
90,success,home team
91,success,home team
92,success,home team
93,success,home team
94,success,home team
95,success,home team
96,success,home team
97,success,home team
98,success,home team
99,success,home team
100,success,home team
101,success,home team
102,success,home team
103,success,home team
104,success,home team
105,success,home team
106,success,home team
107,success,home team
108,success,home team
109,success,home team
110,success,home team
111,success,home team
112,success,home team
113,success,home team
114,success,home team
115,success,home team
116,success,home team
144,success,home team
145,success,home team
146,success,home team
147,success,home team
148,success,home team
149,success,home team
150,success,home team
151,success,home team
152,success,home team
153,success,home team
154,success,home team
155,success,home team
156,success,home team
157,success,home team
158,success,home team
159,success,home team
160,success,home team
161,success,home team
162,success,home team
163,success,home team
164,success,home team
165,success,home team
166,success,home team
167,success,home team
168,success,home team
169,success,home team
170,success,home team
171,success,home team
172,success,home team
173,success,home team
174,success,home team
175,success,home team
176,success,home team
177,success,home team
178,success,home team
179,success,home team
180,success,home team
181,success,home team
182,success,home team
183,success,home team
184,success,home team
217,success,home team
218,success,home team
219,success,home team
220,success,home team
221,success,home team
222,success,home team
223,success,home team
224,success,home team
225,success,home team
226,success,home team
227,success,home team
228,success,home team
264,success,home team
265,success,home team
266,success,home team
267,success,home team
268,success,home team
269,success,home team
270,success,home team
271,success,home team
272,success,home team
273,success,home team
274,success,home team
275,success,home team
312,success,home team
313,success,home team
314,success,home team
315,success,home team
316,success,home team
317,success,home team
318,success,home team
319,success,home team
361,success,home team
362,success,home team
363,success,home team
364,success,home team
365,success,home team
366,success,home team
367,success,home team
368,success,home team
369,success,home team
386,success,home team
387,success,home team
388,success,home team
389,success,home team
390,success,home team
391,success,home team
392,success,home team
393,success,home team
394,success,home team
395,success,home team
396,success,home team
397,success,home team
398,success,home team
399,success,home team
400,success,home team
401,success,home team
402,success,home team
403,success,home team
404,success,home team
405,success,home team
406,success,home team
407,success,home team
